,ID,Ort,Umkreis,MaxOrt,Preis,Fläche,Zimmer,Grundstücksfläche,Kategorie,Etagen,Baujahr,Effizienzklasse,Energieträger,Heizungsart,Stand
0,28zn659,berlin,50,max. 15 km,7.790.000 €,['780 m²'],['30 Zi.'],['1.696 m²'],['Villa'],['5 Geschosse'],['1890'],n.a,n.a,n.a,2023-01-03
1,28jr359,berlin,50,max. 30 km,450.000 €,['111 m²'],['5 Zi.'],['1.100 m²'],['Einfamilienhaus'],['2 Geschosse'],['1936'],['H'],"['Gas, Kohle']",['Zentralheizung'],2023-01-03
2,274he5l,berlin,50,max. 10 km,690.000 €,['323 m²'],['8 Zi.'],['393 m²'],['Mehrfamilienhaus'],n.a,['1990'],['D'],['Gas'],['Zentralheizung'],2023-01-03
3,284bu5a,berlin,50,max. 10 km,835.500 €,['90 m²'],['4 Zi.'],['620 m²'],['Einfamilienhaus'],n.a,n.a,n.a,n.a,n.a,2023-01-03
4,28u535d,berlin,50,max. 10 km,548.000 €,['90 m²'],['4 Zi.'],['290 m²'],['Doppelhaushälfte'],n.a,n.a,n.a,n.a,n.a,2023-01-03
5,28y9q52,berlin,50,max. 10 km,490.000 €,['80 m²'],['4 Zi.'],['318 m²'],['Doppelhaushälfte'],n.a,['1958'],['H'],['Öl'],"['offener Kamin, Zentralheizung']",2023-01-03
6,279kt5y,berlin,50,max. 10 km,1.700.000 €,['186.62 m²'],['8 Zi.'],['502 m²'],['Mehrfamilienhaus'],n.a,['1936'],n.a,['Fernwärme'],['Zentralheizung'],2023-01-03
7,27a225p,berlin,50,max. 10 km,7.500.000 €,['524.46 m²'],['9.5 Zi.'],['1.032 m²'],['Villa'],n.a,['2005'],['D'],['Gas'],"['Fußbodenheizung, Zentralheizung']",2023-01-03
8,28g8n58,berlin,50,max. 10 km,1.750.000 €,['140 m²'],['5 Zi.'],['1.200 m²'],['Doppelhaushälfte'],n.a,['1925'],n.a,['Gas'],['Zentralheizung'],2023-01-03
9,27w5v5j,berlin,50,max. 15 km,795.000 €,['170 m²'],['8 Zi.'],['568 m²'],['Einfamilienhaus'],n.a,['1933'],['F'],['Gas'],n.a,2023-01-03
10,28lxe59,berlin,50,max. 15 km,790.000 €,['103 m²'],['3 Zi.'],['301 m²'],['Doppelhaushälfte'],n.a,n.a,n.a,n.a,['Fußbodenheizung'],2023-01-03
11,28z335d,berlin,50,max. 15 km,950.000 €,['179 m²'],['6 Zi.'],['482 m²'],['Einfamilienhaus'],n.a,['1936'],['F'],n.a,n.a,2023-01-03
12,28mq35d,berlin,50,max. 15 km,444.444 €,['118.07 m²'],['5 Zi.'],['239 m²'],['Reihenendhaus'],n.a,['1973'],['H'],['Gas'],['Zentralheizung'],2023-01-03
13,28crz5d,berlin,50,max. 15 km,750.000 €,['147 m²'],['7 Zi.'],['592 m²'],['Einfamilienhaus'],n.a,n.a,n.a,n.a,n.a,2023-01-03
14,27nhe5l,berlin,50,max. 15 km,1.140.000 €,['154 m²'],['5 Zi.'],"['237,40 m²']",['Reihenmittelhaus'],n.a,['2017'],['B'],['Fernwärme'],n.a,2023-01-03
15,28xyz53,berlin,50,max. 15 km,549.000 €,['135 m²'],['4 Zi.'],['775 m²'],['Einfamilienhaus'],n.a,['1976'],['D'],n.a,['Zentralheizung'],2023-01-03
16,26pew5r,berlin,50,max. 15 km,1.590.000 €,['147 m²'],['5 Zi.'],['409 m²'],['Reihenendhaus'],n.a,['2016'],n.a,['Gas'],['Fußbodenheizung'],2023-01-03
17,28kzy5b,berlin,50,max. 15 km,727.000 €,['136 m²'],['4 Zi.'],['572 m²'],['Einfamilienhaus'],n.a,['1996'],['E'],n.a,n.a,2023-01-03
18,28z9y5c,berlin,50,max. 15 km,995.000 €,['121.55 m²'],['5 Zi.'],['414 m²'],['Doppelhaushälfte'],n.a,['1957'],['F'],['Gas'],['Zentralheizung'],2023-01-03
19,27yc95r,berlin,50,max. 15 km,344.000 €,['190.8 m²'],['1 Zi.'],['70 m²'],['Einfamilienhaus'],n.a,['1900'],n.a,['Gas'],['Etagenheizung'],2023-01-03
20,26faw5f,berlin,50,max. 15 km,2.950.000 €,['211 m²'],['4 Zi.'],['301 m²'],['Doppelhaushälfte'],n.a,['2018'],['B'],['Blockheizkraftwerk'],['Fußbodenheizung'],2023-01-03
21,28qa458,berlin,50,max. 15 km,449.000 €,['104 m²'],['5 Zi.'],['266 m²'],['Reihenmittelhaus'],n.a,['1928'],['H'],['Gas'],['Zentralheizung'],2023-01-03
22,27b4y5h,berlin,50,max. 15 km,595.000 €,['120 m²'],['4 Zi.'],['433 m²'],['Einfamilienhaus'],n.a,['1995'],['F'],['Gas'],['Zentralheizung'],2023-01-03
23,283ay5c,berlin,50,max. 15 km,2.800.000 €,['199.45 m²'],['6 Zi.'],['1.008 m²'],['Einfamilienhaus'],n.a,['1924'],['H'],['Öl'],"['offener Kamin, Zentralheizung']",2023-01-03
24,27fz95t,berlin,50,max. 15 km,298.000 €,['70 m²'],['3 Zi.'],['145 m²'],['Reihenmittelhaus'],n.a,['1935'],n.a,['Elektro'],n.a,2023-01-03
25,28gsc59,berlin,50,max. 15 km,349.000 €,['57 m²'],['3 Zi.'],['298 m²'],['Einfamilienhaus'],n.a,n.a,n.a,n.a,n.a,2023-01-03
26,28a535d,berlin,50,max. 20 km,939.000 €,['137 m²'],['5 Zi.'],['745 m²'],['Einfamilienhaus'],n.a,n.a,n.a,n.a,n.a,2023-01-03
27,28nje57,berlin,50,max. 20 km,595.000 €,['108 m²'],['4 Zi.'],['423 m²'],['Einfamilienhaus'],n.a,n.a,n.a,n.a,n.a,2023-01-03
28,28zye59,berlin,50,max. 20 km,550.000 €,['101 m²'],['4 Zi.'],['400 m²'],['Reihenendhaus'],n.a,['1936'],['H'],n.a,n.a,2023-01-03
29,2842359,berlin,50,max. 20 km,699.000 €,['130 m²'],['4 Zi.'],['462 m²'],['Einfamilienhaus'],n.a,n.a,['B'],n.a,['Fußbodenheizung'],2023-01-03
30,27q8u5j,berlin,50,max. 20 km,520.000 €,['110 m²'],['5 Zi.'],['457 m²'],['Einfamilienhaus'],n.a,['1996'],['D'],['Gas'],['Zentralheizung'],2023-01-03
31,27w3b5u,berlin,50,max. 20 km,485.000 €,['104.12 m²'],['4 Zi.'],"['157,78 m²']",['Reihenendhaus'],n.a,['2019'],['B'],['Gas'],['Fußbodenheizung'],2023-01-03
32,289x45a,berlin,50,max. 20 km,360.000 €,['81 m²'],['3 Zi.'],['400 m²'],['Einfamilienhaus'],n.a,['1991'],n.a,n.a,n.a,2023-01-03
33,278fh5k,berlin,50,max. 20 km,2.499.999 €,['619 m²'],['24 Zi.'],['950 m²'],['Mehrfamilienhaus'],['3 Geschosse'],['1980'],['G'],['Öl'],n.a,2023-01-03
34,28bku59,berlin,50,max. 20 km,795.000 €,['146 m²'],['4 Zi.'],['827 m²'],['Einfamilienhaus'],n.a,n.a,['A+'],n.a,n.a,2023-01-03
35,28byc59,berlin,50,max. 20 km,350.000 €,['79 m²'],['3 Zi.'],['560 m²'],['Doppelhaushälfte'],n.a,n.a,n.a,n.a,n.a,2023-01-03
36,28x435d,berlin,50,max. 20 km,408.000 €,['61 m²'],['3 Zi.'],['1.041 m²'],['Einfamilienhaus'],n.a,n.a,n.a,n.a,n.a,2023-01-03
37,27zly57,berlin,50,max. 30 km,499.000 €,['109 m²'],['4 Zi.'],['405 m²'],['Einfamilienhaus'],n.a,['1995'],['D'],['Gas'],"['Fußbodenheizung, Zentralheizung']",2023-01-03
38,275g75s,berlin,50,max. 30 km,369.000 €,['166.22 m²'],['4 Zi.'],['936 m²'],['Einfamilienhaus'],n.a,['1975'],['E'],['Öl'],['Zentralheizung'],2023-01-03
39,27ygr5d,berlin,50,max. 30 km,675.000 €,['125.31 m²'],['4 Zi.'],['500 m²'],['Einfamilienhaus'],n.a,['1997'],['D'],['Gas'],"['Fußbodenheizung, offener Kamin, Zentralheizung']",2023-01-03
40,27tgt53,berlin,50,max. 30 km,799.000 €,['189 m²'],['6 Zi.'],['472 m²'],['Doppelhaushälfte'],['3 Geschosse'],['2022'],['A+'],n.a,"['Fußbodenheizung, Luft-/Wasser-Wärmepumpe, Zentralheizung']",2023-01-03
41,282lu59,berlin,50,max. 30 km,899.000 €,['145 m²'],['4 Zi.'],['1.256 m²'],['Einfamilienhaus'],n.a,['2009'],['A+'],n.a,['Fußbodenheizung'],2023-01-03
42,28r4c57,berlin,50,max. 30 km,1.580.000 €,['210 m²'],['6 Zi.'],['1.540 m²'],['Villa'],n.a,['1906'],['F'],n.a,n.a,2023-01-03
43,26bas5q,berlin,50,max. 30 km,598.000 €,['135.78 m²'],['5 Zi.'],['783 m²'],['Einfamilienhaus'],n.a,['1938'],['E'],['Gas'],['Zentralheizung'],2023-01-03
